fips,name,state,lat,lon,population
08017,08017,,38.8356456,-102.6017914,1691
08019,08019,,39.6894025,-105.6707833,9427
08021,08021,,37.2134065,-106.1764473,7579
08023,08023,,37.2775474,-105.4289399,3517
08025,08025,,38.3061801,-103.7727363,6018
08027,08027,,38.1019955,-105.3735123,4720
08029,08029,,38.8615949,-107.8648924,31133
08031,08031,,39.7618502,-104.8811054,706799
08033,08033,,37.7338227,-108.5062192,2288
08035,08035,,39.325414,-104.9259871,351929
08037,08037,,39.6269919,-106.6951694,55693
08039,08039,,39.3151572,-104.1140759,25897
08041,08041,,38.8273831,-104.5274718,722736
08043,08043,,38.4551697,-105.4249582,49007
08045,08045,,39.5993517,-107.9097802,61221
08047,08047,,39.8611555,-105.5288778,5812
08049,08049,,40.1130652,-106.1108366,15629
08051,08051,,38.6704993,-107.0568798,16851
08053,08053,,37.8115187,-107.3839736,858
08055,08055,,37.6878154,-104.9599278,6787
08057,08057,,40.6634319,-106.3292476,1375
08059,08059,,39.5795106,-105.245462,580130
08061,08061,,38.387663,-102.7568494,1414
08063,08063,,39.3053399,-102.6030226,7071
08065,08065,,39.2053405,-106.350079,7417
08067,08067,,37.2873673,-107.8397178,55673
08069,08069,,40.6580933,-105.4867638,354670
08071,08071,,37.3188308,-104.0441103,14531
08073,08073,,38.9937401,-103.5075545,5630
08075,08075,,40.7280911,-103.0904639,21765
08077,08077,,39.019524,-108.4605707,154685
08079,08079,,37.5490672,-107.003236,794
08081,08081,,40.6108644,-108.2171545,13240
08083,08083,,37.3380247,-108.5957864,25916
08085,08085,,38.4075069,-108.2662815,42328
08087,08087,,40.263159,-103.8122102,28868
08089,08089,,37.8841698,-103.7212597,18665
08091,08091,,38.1547313,-107.7884802,4850
08093,08093,,39.1189141,-105.7176479,17384
08095,08095,,40.5947117,-102.3451047,4497
08097,08097,,39.2175407,-106.9161621,17471
08099,08099,,37.9581814,-102.3921613,11966
08101,08101,,38.1627652,-104.4846683,167453
08103,08103,,39.9726223,-108.2007155,6495
08105,08105,,37.4858534,-106.453128,11476
08107,08107,,40.4836638,-106.9877021,24899
08109,08109,,38.0316514,-106.2346662,6369
08111,08111,,37.7810492,-107.6702567,698
08113,08113,,38.009319,-108.4272635,8084
08115,08115,,40.8715679,-102.3553579,2459
08117,08117,,39.6210227,-106.1375545,31042
08119,08119,,38.8699759,-105.1873651,24607
08121,08121,,39.9657899,-103.2097445,4834
08123,08123,,40.555961,-104.383666,322424
08125,08125,,40.0007703,-102.4216491,9944
09001,09001,,41.2274128,-73.3670614,956446
09003,09003,,41.8060534,-72.7329157,898636
09005,09005,,41.7918833,-73.2354042,185175
09007,09007,,41.4330028,-72.5227802,164568
09009,09009,,41.3497185,-72.9002033,864751
09011,09011,,41.4726517,-72.1086339,269131
09013,09013,,41.8580807,-72.3409779,150120
09015,09015,,41.8249987,-71.9907017,116503
10001,10001,,39.0970884,-75.5029819,180078
10003,10003,,39.5759152,-75.6441324,567769
10005,10005,,38.6732275,-75.3370237,234045
11001,11001,,38.9042474,-77.0165167,683154
12001,12001,,29.6757403,-82.357221,276171
12003,12003,,30.3244416,-82.3022838,28003
